,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
49,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,90,0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087,212353,4
50,Missy Elliott,Get Ur Freak On - Edit,4RKjQQfNdqjMTCwjQo5wgw,30,0.798,0.779,0,-7.981,1,0.25,0.516,0.207,0.0991,0.741,177.855,209573,4
51,bbno$,edamame (feat. Rich Brian),1uMHCAyGmHqyygoNRuo7MV,85,0.815,0.848,4,-4.704,0,0.115,0.023,0.000162,0.0265,0.684,106.032,133707,4
52,Tom Odell,Another Love,5E4jBLx4P0UBji68bBThSw,57,0.445,0.537,4,-8.532,0,0.04,0.695,1.6e-05,0.0944,0.131,122.764,244360,4
53,01099,Frisch,7toCqux0Ln42OttYYyds4k,70,0.831,0.457,5,-8.844,1,0.125,0.468,0.546,0.126,0.559,127.99,158106,4
54,Indila,Dernière danse,4GCfdrH7k3AwbK9uREy3oX,50,0.669,0.449,0,-7.658,0,0.0489,0.184,0.0,0.0729,0.327,114.926,213493,4
55,Kungs,Never Going Home,0xfMlIW8lS40qvpsUw1l0X,83,0.836,0.846,0,-4.673,1,0.0392,0.0907,0.047,0.057,0.942,122.042,169945,4
56,Bella Poarch,Build a Bitch,7BoobGhD4x5K96Me0hqC8Q,82,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77e-05,0.347,0.866,102.931,122773,4
57,Yung Bae,Bad Boy,1dtTRXifeGC51adYy0902s,67,0.861,0.82,1,-4.807,0,0.0728,0.032,4.76e-06,0.0706,0.781,118.04,187571,4
58,Lil Nas X,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,93,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,143901,4
59,Felix Schorn,Don't Worry,661OBC0lJ74u35r8rqjKJk,25,0.634,0.894,1,-6.657,1,0.0462,0.00281,0.273,0.253,0.327,125.978,140308,4
60,Ajay Adam,Ich hab garnichts gemacht - Remix,5OUOVN3xDF1qt3ZppKbmKl,49,0.862,0.662,1,-6.544,1,0.162,0.075,0.00279,0.0744,0.828,103.014,113010,4
61,Masked Wolf,Astronaut In The Ocean,3Ofmpyhv5UAQ70mENzB277,85,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,132780,4
62,MKTO,Classic,6FE2iI43OZnszFLuLtvvmg,85,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,175427,4
63,Clean Bandit,Higher (feat. iann dior),4OoYfejHABzYe2mG8p5s8b,71,0.716,0.736,1,-5.18,0,0.0363,0.336,1.4e-05,0.137,0.542,104.018,203953,4
64,KALUMA,Sidewalk,6u3W9HIPWtRydDaZf176IL,32,0.64,0.828,6,-5.366,0,0.0745,0.0122,1.9e-06,0.109,0.395,128.005,148130,4
65,KALUMA,When the Beat Drops Out,6KP15dlTRpJgM98psYINLe,50,0.692,0.837,7,-6.687,0,0.14,0.118,1.52e-05,0.106,0.143,119.928,169798,4
66,Navos,Believe Me,44xO8889yUQHn70P73NILS,78,0.629,0.876,5,-5.572,0,0.0408,0.129,1.39e-06,0.29,0.645,124.999,188260,4
67,Kreepa,Oh No,4qBMiRsJjtm1WR4KyAQqrX,62,0.541,0.527,11,-7.438,0,0.147,0.00279,0.000509,0.286,0.429,176.123,166504,4
68,Pitbull,Time of Our Lives,2bJvI42r8EF3wxjOuDav4r,83,0.721,0.802,1,-5.797,1,0.0583,0.0921,0.0,0.694,0.724,124.022,229360,4
69,Steve Kroeger,Too Late,78h3hHbxiyKJouFEx6brwN,46,0.724,0.82,7,-5.505,1,0.141,0.0965,0.00718,0.0997,0.0959,132.045,158182,4
70,Tez Cadey,Seve - Radio Edit,6UqRGwjwYL0stXbaodTxwo,72,0.74,0.831,5,-7.321,1,0.0456,0.444,0.00304,0.0769,0.448,121.034,210853,4
71,Crystal Rock,Mood,3I8995uw5vSsoHncTP7AqQ,49,0.737,0.953,7,-3.196,0,0.0516,0.0629,0.0,0.187,0.755,119.996,136000,4
72,Dirty Heads,Vacation,7lgvGRC1gN0JGgY9VGXsQT,68,0.736,0.751,8,-5.588,1,0.034,0.0381,0.0,0.105,0.839,150.064,209722,4
73,PaulWetz,Hypnotize Me,5HAcVd1Rir12cOSxQgQIDq,49,0.801,0.577,4,-14.115,1,0.0612,0.81,0.878,0.117,0.0451,119.992,221000,4
74,Surfaces,Sheesh!,3ddNKnYpVx0uI8vcwbTQ5Y,73,0.743,0.832,5,-3.937,1,0.0611,0.161,0.0,0.0925,0.801,149.951,148847,4
75,Charming Horses,Bye Bye,6jfZVzbbtU840xObSlPy6a,31,0.75,0.81,6,-6.168,1,0.0921,0.0641,1.01e-05,0.389,0.569,124.029,142505,4
76,Bad Bunny,DÁKITI,4MzXwWMhyBbmu6hOcLVD49,86,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,4
77,Doja Cat,You Right,0k4d5YPDr1r7FX77VdqWez,89,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,186173,4
78,BIGPP,Laxed (Siren Beat),1KYesJABYU0ZnkyeLFCX0m,41,0.955,0.892,0,-3.225,0,0.0642,0.288,0.896,0.296,0.6,112.431,200342,3
79,Zwette,Go Solo (feat. Tom Rosenthal),6vhOyWiOnO7EzxnXBllmkQ,65,0.783,0.557,1,-8.599,1,0.0275,0.641,0.0506,0.116,0.368,108.012,192893,4
80,Shouse,Love Tonight - David Guetta Remix Edit,2prnn41CblB8B4yWACDljP,84,0.621,0.989,10,-4.225,0,0.0434,0.015,0.357,0.184,0.0348,126.002,158095,4
81,Nathan Evans,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,3iw6V4LH7yPj1ESORX9RIN,81,0.722,0.893,0,-3.255,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,116750,4
82,Labrinth,Still Don't Know My Name,6N22FZs2ZhPBYi3b9XPajV,84,0.316,0.63,5,-5.963,1,0.117,0.471,0.262,0.205,0.313,89.643,153294,1
83,Dua Lipa,Blow Your Mind (Mwah),6KnWE3VTumLX4iIz7bvRh3,52,0.693,0.772,2,-5.382,0,0.105,0.0215,0.0,0.0791,0.496,108.914,179387,4
84,Edith Whiskers,Home,2qPSa6HXjzwa9sLhNGpA1T,77,0.725,0.199,2,-12.478,1,0.0357,0.982,0.00395,0.1,0.264,120.031,195359,4
85,BTS,Butter,1mWdTewIgB3gtBM3TOSFhB,89,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,164442,4
86,Shakira,Don't Wait Up,45PF1Y3RcW5MK0jxWvhc4D,76,0.916,0.552,3,-5.051,0,0.0546,0.344,0.000722,0.0566,0.349,118.981,204044,4
87,Mata,Szafir,5sGv8YdAa3XjggnbpF9NC9,76,0.772,0.607,1,-8.016,1,0.105,0.375,5.61e-05,0.164,0.814,139.963,196600,4
88,sangiovanni,malibu (with Trevor Daniel),0PvKGTPfI1yLizE2oSwgul,43,0.673,0.744,7,-4.844,0,0.0753,0.0356,0.0,0.152,0.632,147.975,166216,4
89,Rick Astley,Never Gonna Give You Up,4cOdK2wGLETKBW3PvgPWqT,81,0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,213573,4
90,Joel Corry,Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,86,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028,4
91,Crystal Waters,100% Pure Love,0dfQwyoZoS9LgQiU6AJO7f,59,0.811,0.725,8,-7.203,1,0.0491,0.0843,0.0059,0.0567,0.698,120.242,278627,4
92,Flo Rida,Low (feat. T-Pain),0CAfXk7DXMnon4gLudAp7J,83,0.918,0.609,10,-5.64,0,0.0791,0.0928,0.0,0.139,0.304,128.008,231400,4
93,Eduardo Luzquiños,SoFtly / Killing Me Softly With His Song 2 - TikTok Remix,72aXlyfYljGtGnzCy9temP,45,0.949,0.425,9,-9.019,0,0.311,0.0312,0.374,0.135,0.505,127.991,228808,4
94,FEL!X,For My Own,4e1UY04HNzsDh33fZffzpY,31,0.696,0.878,7,-3.003,0,0.178,0.12,0.0,0.603,0.434,128.237,139265,4
95,Paramore,Hard Times,0w5Bdu51Ka25Pf3hojsKHh,75,0.695,0.818,5,-5.379,0,0.0334,0.00647,4.87e-06,0.0219,0.916,119.965,182693,4
96,Avicii,The Nights,0ct6r3EGTcMLPtrXHDvVjc,87,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,176658,4
97,Ollie Crowe,Out of Luck,7GRbqWpg61OtwWbLfiQWAX,29,0.647,0.856,6,-4.492,1,0.0289,0.554,0.000606,0.238,0.416,104.962,168649,4
98,Bruno Mars,Talking to the Moon,1wVuPmvt6AWvTL5W2GJnzZ,80,0.498,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867,217867,4
99,Monaldin,Femme Like U (feat. Emma Peters),670E2HDx684Yq0rhf84CQc,62,0.749,0.655,6,-9.008,0,0.0552,0.578,0.0972,0.222,0.477,114.975,137824,4
100,Ed Marquis,Pon De Replay - 2020 Edit,5QY38we5AE85kkrXUrdLEC,66,0.573,0.813,6,-5.262,0,0.268,0.0947,3.57e-06,0.288,0.296,103.136,145225,4
101,Drake,Fair Trade (with Travis Scott),40iJIUlhi6renaREYGeIDS,87,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,291175,4
102,Bo Burnham,Bezos I,0Kdj7nwaYQmvhxnqZaIQuW,77,0.694,0.948,2,-5.307,1,0.0361,0.00936,1.62e-05,0.139,0.705,115.044,58149,4
103,Britney Spears,Toxic,6I9VzXrHxO9rA9A5euc8Ak,84,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,198800,4
104,Nerds At Raves,Lonely,3KO3GXvc8Cr3Bs7lB01f9b,33,0.827,0.918,2,-2.626,1,0.2,0.0642,3.67e-05,0.29,0.467,119.955,116000,4
105,Claire Rosinkranz,Backyard Boy,04F42oEuKrRComYJfJuyVR,75,0.817,0.635,5,-7.246,1,0.163,0.323,0.0,0.0738,0.454,138.015,129241,4
106,Soft Cell,Tainted Love,0cGG2EouYCEEC3xfa0tDFV,78,0.5,0.501,0,-8.284,0,0.0376,0.462,0.0,0.26,0.623,144.438,153800,4
107,Crystal Rock,Stay,5toJpK0MtkKWJsl1XD1pPC,46,0.58,0.936,1,-2.582,1,0.12,0.0415,0.0,0.411,0.231,138.038,157394,4
108,MAZLIK,Don't Know Why,762mNiyGAwfyUJ6KB2nZg0,46,0.757,0.767,11,-5.596,0,0.196,0.089,0.000103,0.163,0.447,135.035,136889,4
109,G.R.L.,Ugly Heart,3qqho4PnTn3zlMPBzWhFFD,66,0.65,0.786,9,-5.488,1,0.0463,0.019,0.0,0.323,0.446,124.96,198307,4
110,Måneskin,Beggin',3Wrjm47oTz2sjIgck11l5e,93,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,211560,4
111,Drake,Way 2 Sexy (with Future & Young Thug),0k1WUmIRnG3xU6fvvDVfRG,88,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,257605,4
112,CKay,love nwantiti (feat. ElGrande Toto) - North African Remix,1EYeZGTMCjV7uVey5fNWXM,79,0.642,0.723,1,-6.149,1,0.243,0.58,0.000942,0.112,0.487,186.043,135480,4
113,Paris Hilton,Stars Are Blind,1trpG0Orh0Hyw1dnJA5etW,47,0.745,0.695,2,-5.076,1,0.0271,0.00593,0.0,0.0615,0.519,102.014,236600,4
114,Pascal Letoublon,Friendships (Lost My Love),0lQ2obtzmAsJu9xk3D6FqH,75,0.787,0.828,11,-3.579,0,0.0297,0.106,0.000605,0.105,0.544,119.953,182700,4
115,Minelli,Rampampam,1esZgaqm0YKN87CIP3orJ3,76,0.797,0.649,3,-5.506,0,0.182,0.24,0.0012,0.153,0.437,117.971,200212,4
116,Tyga,Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,77,0.884,0.559,0,-7.442,1,0.12,0.0236,0.0,0.101,0.342,97.994,232959,4
117,Nelly Furtado,Try,1kS9d4x0ftbfq65eaBGSCT,57,0.623,0.588,7,-7.457,1,0.0304,0.0588,0.000346,0.437,0.317,93.922,278387,4
118,Beyoncé,All Night,7oAuqs6akGnPU3Tb00ZmyM,66,0.574,0.573,11,-7.079,1,0.085,0.392,2.16e-05,0.0933,0.626,136.304,322000,4
119,Miguel,Wolf (feat. Quin),3SHJLQK4Nfgg7eYMvMElnF,44,0.413,0.588,10,-7.009,0,0.0806,0.136,0.00155,0.146,0.434,179.685,209093,3
120,Bryson Tiller,Let Me Explain,1trZGMI2CGyVT44STkpCoN,66,0.809,0.504,2,-3.201,1,0.15,0.00156,0.0,0.0856,0.525,120.065,223969,4
121,Lykke Li,better alone,1m43PeB6kOKy4LYt75iOwB,47,0.468,0.428,0,-10.775,0,0.0343,0.459,2.12e-05,0.204,0.176,79.82,271947,4
122,Kanye West,Yikes,1qsHYUd2c1wFGcn7e63QmG,68,0.683,0.776,1,-3.251,0,0.341,0.15,0.0,0.227,0.223,173.996,188773,4
123,Natalia Przybysz,Przeze mnie,4eqbo3W8k3GFkQ2jzHM6ra,23,0.467,0.256,5,-10.049,1,0.0325,0.709,0.476,0.113,0.298,165.299,442710,4
124,ZAYN,iT's YoU,6dtWKqqdveI3YvdYJQKWWn,63,0.611,0.319,5,-10.743,1,0.0357,0.815,0.0151,0.108,0.176,124.92,226653,4
125,Kina,Get You The Moon (feat. Snøw),4ZLzoOkj0MPWrTLvooIuaa,83,0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.144,0.0895,118.917,179080,4
126,Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,2yr2HnFYl7XvqJk4fXoQBt,66,0.833,0.515,11,-5.0,0,0.0462,0.347,0.00156,0.116,0.4,97.007,257333,4
127,Rihanna,Pour It Up,5r67bGhYXZNqk2m2Wupfmu,69,0.785,0.478,2,-8.735,1,0.0419,0.0254,0.0,0.0901,0.39,134.002,161200,4
128,Kendrick Lamar,King Kunta,0N3W5peJUQtI4eyR6GJT5O,76,0.884,0.657,6,-4.569,0,0.0977,0.00589,0.0,0.154,0.489,107.059,234693,4
129,Black Coast,Trndsttr (feat. M. Maggie) - Lucian Remix,0Njuk9ivU3IwFfx9sxuwuh,55,0.794,0.476,2,-4.337,0,0.0558,0.354,0.00307,0.332,0.471,129.827,179658,4
130,Sabrina Claudio,Messages From Her,3NhEEC4oE5hX6u8RCx6Q9m,56,0.377,0.426,0,-6.64,1,0.0451,0.801,0.0592,0.112,0.103,125.826,290186,4
131,Rihanna,Bitch Better Have My Money,0NTMtAO2BV4tnGvw9EgBVq,76,0.781,0.728,1,-4.981,1,0.0621,0.0509,1.94e-06,0.257,0.395,102.99,219306,4
132,Travis Scott,BUTTERFLY EFFECT,2cYqizR4lgvp4Qu6IQ3qGN,80,0.763,0.628,11,-5.85,1,0.05,0.0531,0.0,0.114,0.193,140.958,190557,4
133,Cukierki,Idziemy,4edWZz0YctlUY3xUVMQLsz,12,0.806,0.575,0,-6.469,1,0.0527,0.0219,0.26,0.526,0.181,140.072,191000,4
134,Drake,Sneakin’,4ckuS4Nj4FZ7i3Def3Br8W,66,0.806,0.558,8,-6.538,1,0.172,0.00496,1.45e-06,0.16,0.26,85.011,251333,4
135,The Cinematic Orchestra,To Build A Home,54KFQB6N4pn926IUUYZGzK,76,0.264,0.122,9,-15.399,1,0.0349,0.885,0.349,0.094,0.0735,148.658,371320,4
136,Harry Styles,Lights Up,4jAIqgrPjKLTY9Gbez25Qb,78,0.575,0.621,10,-8.165,0,0.032,0.0392,0.0045,0.141,0.27,101.987,172213,4
137,Josefin Öhrn,Rushing Through My Mind - Mang Dynasty Extended Version,2O5iXIhZbnusoU8au9gast,9,0.719,0.654,0,-9.602,1,0.0557,0.0784,0.432,0.28,0.961,118.988,492672,4
138,Disclosure,Nocturnal,2ZbqLzPVJxwJ5KPVXb3KaL,55,0.672,0.681,2,-6.439,0,0.0374,0.0196,0.000199,0.163,0.269,103.01,404512,4
139,The Neighbourhood,Afraid,7brQHA2CgQpcMBiOlfiXYb,80,0.464,0.701,6,-5.693,0,0.0411,0.00892,0.309,0.335,0.356,83.996,251187,4
140,BANKS,Trainwreck,2kKtO2tLWLc5Twza40TUff,47,0.599,0.834,1,-5.304,1,0.0772,0.0217,1.93e-06,0.723,0.538,149.971,204680,4
141,Fugees,Ready or Not,3vZO25GdYuqFrR1kzZADnp,73,0.607,0.422,10,-13.364,0,0.499,0.209,0.0,0.0839,0.563,130.47,226987,3
142,Florence + The Machine,Delilah,12HB8AmFTovKrFcGG36KbL,57,0.426,0.87,9,-3.821,0,0.0621,0.096,0.0,0.112,0.414,169.946,293468,4
143,Otsochodzi,SumieNIE,1CtKKJ5ij3pQQ7A65c1fip,46,0.823,0.518,6,-6.167,0,0.238,0.468,6.4e-06,0.0718,0.761,109.076,287339,4
144,Justin Timberlake,Tunnel Vision,79MOydAvZYm8nyyzd6fiVi,53,0.572,0.771,4,-5.54,0,0.0611,0.275,0.0,0.473,0.573,141.88,406640,4
145,The Weeknd,A Lonely Night,0ifooM33X1iBxVYyOkSbXW,69,0.853,0.663,7,-6.955,0,0.0755,0.0431,8.71e-06,0.0891,0.864,113.998,220173,4
146,DJDS,"No Pain (Feat. Khalid, Charlie Wilson & Charlotte Day Wilson)",7fLaDPGVfBPajLJZ5xrNcL,36,0.649,0.537,10,-2.656,1,0.0567,0.219,0.0,0.0918,0.336,127.885,200732,4
147,Lamb,Wise Enough,3f56kKYqrscMfZaBHlLLHM,44,0.221,0.481,7,-9.104,0,0.0613,0.17,0.121,0.173,0.267,49.429,286827,4
148,Aaliyah,Hot Like Fire (Timbaland's Groove Mix) (feat. Missy Elliott & Timbaland) - Bonus,0AVpYUg9VAvkOqlqfCyn30,62,0.75,0.641,0,-5.165,1,0.132,0.177,0.0171,0.127,0.849,82.541,275250,4
149,Mýa,Case Of The Ex (Whatcha Gonna Do),3G6hxSp260RzGw4sOiDOQ3,62,0.772,0.688,1,-4.715,0,0.0405,0.0548,9.79e-05,0.0725,0.348,98.0,236907,4
